freq,size_emp,nace_r2,indic_is,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,0-9,C10-S951_X_K,P_CUSE,PC_EMP,ES	: 	: 	: 	: 	: 	: 	: 	59.49 	63.37 	63.98 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,P_CUSE,PC_EMP,PT	: 	: 	: 	: 	: 	: 	: 	55.14 	55.05 	57.52 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,P_CUSE,PC_EMP,SK	: 	: 	: 	: 	: 	: 	: 	67.06 	: 	: 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,P_CUSE,PC_EMP,UK	: 	: 	: 	: 	: 	: 	: 	66.63 	67.62 	68.15 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,P_IUSE,PC_EMP,DE	: 	: 	: 	: 	: 	: 	: 	62.66 	65.82 	66.23 	69.26 	69.73 	71.33 	70.24 	72.15 
A,0-9,C10-S951_X_K,P_IUSE,PC_EMP,ES	: 	: 	: 	: 	: 	: 	: 	55.47 	58.22 	59.78 	63.99 	67.04 	67.57 	69.15 	68.04 
A,0-9,C10-S951_X_K,P_IUSE,PC_EMP,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67.75 b	: 	: 
A,0-9,C10-S951_X_K,P_IUSE,PC_EMP,PT	: 	: 	: 	: 	: 	: 	: 	50.12 	49.31 	52.60 	52.49 	55.77 	58.09 	58.30 	60.19 
A,0-9,C10-S951_X_K,P_IUSE,PC_EMP,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83.97 	83.39 	83.64 	: 	86.40 
A,0-9,C10-S951_X_K,P_IUSE,PC_EMP,SK	: 	: 	: 	: 	: 	: 	: 	64.47 	: 	: 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,P_IUSE,PC_EMP,UK	: 	: 	: 	: 	: 	: 	: 	64.72 	65.03 	65.86 	68.25 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,ES	: 	: 	: 	: 	: 	: 	: 	93.25 	91.88 	93.45 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,PT	: 	: 	: 	: 	: 	: 	: 	90.90 	89.58 	91.46 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,SK	: 	: 	: 	: 	: 	: 	: 	96.14 	: 	: 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,UK	: 	: 	: 	: 	: 	: 	: 	97.14 	96.17 	96.64 	: 	: 	: 	: 	: 
A,0_1,C10-S951_X_K,P_CUSE,PC_EMP,SK	: 	: 	: 	: 	: 	: 	: 	67.87 	: 	: 	: 	: 	: 	: 	: 
A,0_1,C10-S951_X_K,P_IUSE,PC_EMP,DE	: 	: 	: 	: 	: 	: 	: 	: u	83.91 	82.51 	93.50 	91.60 	98.80 	92.28 	91.92 
A,0_1,C10-S951_X_K,P_IUSE,PC_EMP,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	79.01 b	: 	: 
A,0_1,C10-S951_X_K,P_IUSE,PC_EMP,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75.48 	59.02 	65.84 	68.08 	61.69 
A,0_1,C10-S951_X_K,P_IUSE,PC_EMP,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	79.08 	77.53 	80.20 	: 	84.02 
A,0_1,C10-S951_X_K,P_IUSE,PC_EMP,SK	: 	: 	: 	: 	: 	: 	: 	64.47 	: 	: 	: 	: 	: 	: 	: 
A,0_1,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,SK	: 	: 	: 	: 	: 	: 	: 	95.00 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_CUSE,PC_EMP,DE	62.26 	63.03 	64.92 	71.08 	: 	: 	67.97 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_CUSE,PC_EMP,PT	43.98 	47.46 	49.31 	55.96 	60.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_CUSE,PC_EMP,SK	61.35 	67.22 	75.49 	76.81 	73.27 	77.73 	72.98 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,DE	: 	: 	76.54 	81.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,PT	: 	: 	69.15 	69.81 	71.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,SK	: 	: 	85.42 	87.77 	85.64 	84.54 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_IUSE,PC_EMP,DE	56.31 	59.27 	62.70 	68.47 	67.61 	69.43 	63.01 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_IUSE,PC_EMP,PT	37.01 	40.99 	43.56 	49.44 	51.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_IUSE,PC_EMP,SK	54.57 	63.37 	72.44 	73.29 	70.68 	74.66 	68.97 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,DE	90.44 	94.03 	96.58 	96.33 	: 	: 	92.71 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,PT	84.14 	86.36 	88.34 	88.36 	86.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,SK	88.95 	94.27 	95.96 	95.42 	96.46 	96.04 	94.51 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,DE	: 	: 	73.92 	78.16 	76.91 	75.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,PT	: 	: 	61.08 	61.68 	61.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,SK	: 	: 	81.97 	83.75 	82.61 	81.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_IUSE,PC_EMP_IACC,DE	: 	: 	75.26 	79.79 	79.40 	79.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_IUSE,PC_EMP_IACC,PT	: 	: 	68.34 	68.63 	69.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,P_IUSE,PC_EMP_IACC,SK	: 	: 	84.89 	85.43 	84.02 	82.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_CUSE,PC_EMP,DE	60.83 	59.83 	63.16 	66.14 	: 	: 	63.16 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_CUSE,PC_EMP,ES	53.91 	53.90 	55.42 	57.95 	56.84 	58.68 	58.33 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_CUSE,PC_EMP,IS	92.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_CUSE,PC_EMP,PT	40.59 	42.78 	42.72 	48.42 	52.47 	54.14 	54.20 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_CUSE,PC_EMP,SK	61.13 	66.90 	68.94 	71.62 	70.27 	72.77 	67.92 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_CUSE,PC_EMP,UK	: 	: 	: 	: 	: 	65.44 	67.14 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,DE	: 	: 	70.00 	72.34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,ES	: 	: 	75.87 	77.43 	75.95 	76.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,PT	: 	: 	56.49 	58.09 	59.73 	60.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,SK	: 	: 	76.07 	79.40 	78.80 	78.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,UK	: 	: 	: 	: 	: 	79.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP,DE	55.08 	55.12 	59.70 	62.50 	61.12 	63.64 	58.07 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP,ES	47.30 	48.69 	49.79 	52.14 	51.80 	52.82 	54.04 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP,IS	89.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP,PT	34.30 	37.62 	37.78 	42.71 	46.05 	47.07 	48.69 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP,SK	55.87 	62.92 	66.77 	68.17 	67.28 	70.21 	64.89 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP,UK	: 	: 	: 	: 	: 	62.56 	64.84 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,DE	90.54 	92.13 	94.53 	94.50 	: 	: 	91.95 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,ES	87.74 	90.34 	89.85 	89.97 	91.12 	90.02 	92.65 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,IS	96.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,PT	84.49 	87.94 	88.42 	88.19 	87.77 	86.95 	89.83 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,SK	91.39 	94.04 	96.85 	95.18 	95.75 	96.47 	95.55 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,UK	: 	: 	: 	: 	: 	95.59 	96.58 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,DE	: 	: 	66.17 	68.36 	65.79 	67.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,ES	: 	: 	68.17 	69.66 	69.20 	68.76 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,PT	: 	: 	49.95 	51.23 	52.43 	52.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,SK	: 	: 	73.67 	75.57 	75.45 	75.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,UK	: 	: 	: 	: 	: 	75.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_IACC,DE	: 	: 	67.19 	69.20 	67.32 	69.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_IACC,ES	: 	: 	73.29 	75.78 	73.66 	73.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_IACC,PT	: 	: 	54.68 	56.15 	56.50 	57.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_IACC,SK	: 	: 	75.31 	77.35 	76.34 	76.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,P_IUSE,PC_EMP_IACC,UK	: 	: 	: 	: 	: 	77.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,AT	47.17 	: 	46.69 	47.62 	48.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,BA	: 	: 	: 	: 	: 	: 	: 	: 	41.50 	42.07 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,BE	64.15 	55.53 	52.96 	: u	: u	54.75 	56.45 	57.66 	58.37 	59.57 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,BG	23.75 	25.41 	26.89 	27.90 	28.85 	28.87 	29.36 	29.87 	30.78 	31.00 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,CY	39.71 	40.41 	43.53 	43.07 	46.97 	46.14 	50.44 	51.40 	49.43 	49.26 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,CZ	38.28 	40.17 	41.76 	42.94 	45.79 	44.21 	49.14 	46.43 	47.72 	51.52 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,DE	55.61 	56.01 	56.34 	56.78 	: 	: 	55.69 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,DK	: 	: 	: 	: 	: 	70.08 	: 	: 	100.00 	100.00 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,EA	49.99 	50.88 	51.12 	52.34 	50.15 	51.67 	53.74 	53.89 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,EE	45.89 	44.70 	45.97 	46.00 	45.59 	44.78 	46.26 	48.01 	49.41 	49.39 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,EL	41.27 	43.64 	44.36 	44.18 	45.07 	43.80 	43.84 	42.12 	41.68 	40.16 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,ES	49.46 	50.30 	51.69 	52.93 	52.89 	55.47 	55.20 	56.40 	55.29 	57.19 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,EU15	50.86 	51.39 	52.14 	53.83 	52.30 	54.07 	55.33 	56.77 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,EU25	48.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,EU27_2007	47.05 	48.27 	48.86 	50.35 	48.13 	49.48 	51.20 	51.89 	53.09 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,EU27_2020	46.21 	47.47 	47.64 	48.82 	45.96 	47.39 	49.57 	49.94 	50.37 	51.38 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,EU28	47.02 	48.24 	48.84 	50.35 	48.11 	49.46 	51.18 	51.87 	53.06 	53.65 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,FI	67.00 	67.66 	67.73 	68.63 	70.56 	70.32 	71.92 	69.47 	72.11 	72.61 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,FR	50.55 	51.77 	51.20 	52.70 	50.83 	52.34 	: 	53.71 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,HR	43.12 	45.51 	45.96 	: 	45.39 	47.49 	48.59 	49.71 	50.45 	49.97 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,HU	37.08 	38.75 	39.67 	40.23 	40.66 	39.29 	42.75 	43.85 	44.52 	43.06 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,IE	52.87 	52.12 	53.05 	55.50 	54.55 	55.00 	55.10 	55.02 	54.15 	54.12 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,IS	99.21 	: 	: 	: 	: 	: 	: 	: 	100.00 	100.00 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,IT	40.36 	41.79 	42.91 	43.66 	43.45 	45.24 	46.46 	49.12 	53.39 	55.34 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,LT	32.77 	41.93 	41.89 	43.32 	40.47 	42.67 	44.30 	46.88 	49.69 	51.82 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,LV	28.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,ME	: 	: 	: 	: 	: 	: 	59.73 	58.37 	57.33 	53.92 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,MK	29.87 	31.88 	31.88 	31.62 	32.57 	33.42 	35.15 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,MT	47.58 	44.25 	45.78 	46.28 	49.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,NL	63.16 	63.09 	60.75 	62.60 	62.77 	64.68 	67.05 	72.18 	72.05 	71.98 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,NO	64.20 	69.47 	70.23 	69.13 	66.56 	67.17 	70.13 	71.04 	71.21 	72.56 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,PL	35.75 	38.71 	38.67 	39.89 	38.59 	38.77 	38.92 	40.95 	41.69 	43.50 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,PT	36.42 	34.59 	35.79 	40.57 	40.81 	41.14 	41.78 	40.74 	43.14 	43.91 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,RO	24.55 	29.28 	25.63 	26.80 	27.42 	27.95 	27.89 	27.08 	28.73 	26.96 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,RS	: 	: 	: 	: 	48.13 	: 	: 	48.03 	49.45 	49.97 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,SE	65.30 	: 	: 	: 	: 	: 	: 	74.32 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,SI	51.59 	52.66 	55.57 	53.60 	54.58 	53.92 	53.85 	53.76 	55.73 	54.40 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,SK	43.66 	47.59 	47.96 	49.51 	45.96 	47.57 	47.39 	47.47 	46.29 	47.60 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,TR	94.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP,UK	52.30 	53.27 	56.74 	60.81 	59.54 	58.70 	60.21 	61.53 	64.16 	63.12 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,AT	: 	: 	47.04 	48.01 	48.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,BE	: 	: 	53.61 	: u	: u	54.76 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,BG	: 	: 	28.70 	29.46 	30.08 	30.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,CY	: 	: 	44.18 	44.01 	47.66 	46.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,CZ	: 	: 	42.48 	43.61 	46.23 	44.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,DE	: 	: 	57.20 	57.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,DK	: 	: 	: 	: 	: 	70.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,EA	: 	: 	51.72 	52.90 	50.55 	52.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,EE	: 	: 	46.72 	46.70 	46.45 	45.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,EL	: 	: 	46.07 	46.33 	47.62 	46.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,ES	: 	: 	52.37 	53.54 	53.31 	55.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,EU15	: 	: 	52.82 	54.48 	52.88 	54.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,EU27_2007	: 	: 	49.88 	51.34 	49.07 	50.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,EU27_2020	: 	: 	48.64 	49.76 	46.82 	48.33 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,EU28	: 	: 	49.85 	51.34 	49.04 	50.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,FI	: 	: 	67.73 	68.63 	70.59 	70.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,FR	: 	: 	51.36 	52.81 	50.96 	52.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,HR	: 	: 	46.83 	: 	46.28 	50.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,HU	: 	: 	41.08 	41.88 	41.87 	41.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,IE	: 	: 	54.69 	56.83 	55.02 	55.81 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,IT	: 	: 	43.62 	44.19 	43.94 	45.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,LT	: 	: 	41.94 	43.39 	40.47 	42.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,MK	: 	: 	33.43 	32.73 	33.71 	34.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,MT	: 	: 	46.62 	47.35 	50.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,NL	: 	: 	60.75 	62.60 	62.77 	64.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,NO	: 	: 	71.26 	70.37 	67.22 	67.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,PL	: 	: 	39.80 	40.93 	39.71 	40.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,PT	: 	: 	36.15 	40.95 	41.02 	41.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,RO	: 	: 	29.47 	30.74 	30.32 	30.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,RS	: 	: 	: 	: 	48.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,SI	: 	: 	56.13 	54.18 	55.07 	54.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,SK	: 	: 	48.50 	50.05 	46.48 	48.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_CUSE,PC_EMP_CUSE2,UK	: 	: 	57.86 	62.07 	60.97 	59.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.85 	27.46 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,AT	41.95 	: 	41.49 	42.93 	44.74 	48.65 	49.71 	52.69 	52.11 	55.42 	60.55 	61.79 	62.86 	61.42 	64.83 
